"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"46",46,"Anthony Edwards","SG","MIN",82.5145687934698
"47",47,"Daniel Gafford","C","DAL",82.5044953681064
"48",48,"Tre Jones","PG","CHI",82.4606565132572
"49",49,"Scotty Pippen Jr.","G","MEM",82.2109593975342
"50",50,"Tyler Herro","PG","MIA",81.9096705057168
"51",51,"Chet Holmgren","PF","OKC",81.8913857755072
"52",52,"Desmond Bane","SG","ORL",81.5942599717831
"53",53,"Goga Bitadze","C","ORL",81.4617760252044
"54",54,"Austin Reaves","SG","LAL",81.4052818747372
"55",55,"Bam Adebayo","C","MIA",81.2294933982024
"56",56,"Keon Ellis","G","SAC",81.1434961017824
"57",57,"Ausar Thompson","F","DET",81.0590337938664
"58",58,"Kevin Durant","PF","HOU",80.0396928949003
"59",59,"Cason Wallace","G","OKC",79.921885048503
"60",60,"Ja Morant","PG","MEM",79.8481254196789
"61",61,"Jalen Duren","C","DET",79.8190841951883
"62",62,"Walker Kessler","C","UTAH",79.7377433344195
"63",63,"Santi Aldama","PF","MEM",79.5556710061318
"64",64,"Gary Payton II","SG","GS",79.3877130500308
"65",65,"Jonathan Isaac","PF","ORL",79.303191859423
"66",66,"Dereck Lively II","C","DAL",79.2496422165942
"67",67,"Jay Huff","C","IND",79.1701482293828
"68",68,"Jalen Johnson","SF","ATL",79.0954918954405
"69",69,"Scottie Barnes","SF","TOR",78.9979591621127
"70",70,"Franz Wagner","SF","ORL",78.9393130048737
"71",71,"De'Aaron Fox","PG","SA",78.9309746073203
"72",72,"Jaylin Williams","F","OKC",78.8561325743332
"73",73,"Isaiah Hartenstein","C","OKC",78.8108622766382
"74",74,"Kyrie Irving","PG","DAL",78.5835373782829
"75",75,"Caris LeVert","SG","DET",78.333585049307
"76",76,"Day'Ron Sharpe","C","BKN",77.8744009627076
"77",77,"Tyrese Maxey","PG","PHI",77.86527867222
"78",78,"Aaron Wiggins","SG","OKC",77.8535515727976
"79",79,"Rudy Gobert","C","MIN",77.6892812351357
"80",80,"OG Anunoby","SF","NY",77.3562608294442
"81",81,"Moritz Wagner","C","ORL",77.2212131838233
"82",82,"Sandro Mamukelashvili","PF","TOR",77.1276378055313
"83",83,"Kevon Looney","F","NO",76.7776759642471
"84",84,"Zach Collins","PF","CHI",76.6966759577762
"85",85,"Kyle Anderson","SF","UTAH",76.1927402006234
"86",86,"John Konchar","SG","MEM",76.059249855296
"87",87,"Jaylen Brown","SG","BOS",75.8485784555751
"88",88,"Zach Edey","C","MEM",75.7619639731706
"89",89,"Draymond Green","PF","GS",75.580054640462
"90",90,"Kris Dunn","G","LAC",75.5171776012802
"91",91,"Drew Eubanks","PF","SAC",75.502113812534
"92",92,"Brook Lopez","C","LAC",75.3320899914984
"93",93,"Obi Toppin","PF","IND",75.2730385303223
"94",94,"Myles Turner","C","MIL",75.1017578151867
"95",95,"Devin Booker","SG","PHX",74.9224990322527
"96",96,"Kel'el Ware","C","MIA",74.9135351435679
"97",97,"Tyus Jones","PG","ORL",74.6661436174857
"98",98,"Mouhamed Gueye","F","ATL",74.5058988198678
"99",99,"Brandin Podziemski","G","GS",74.2731350296852
"100",100,"Kevin Porter Jr.","G","MIL",74.0035510839168
"101",101,"Russell Westbrook","PG","DEN",73.8539610582397
"102",102,"Mikal Bridges","SF","NY",73.7931068664303
"103",103,"Naz Reid","C","MIN",73.710856861046
"104",104,"Jake LaRavia","F","LAL",73.5120256950203
"105",105,"DeMar DeRozan","SF","SAC",73.4988107754295
"106",106,"Michael Porter Jr.","F","BKN",73.4862587214473
"107",107,"Dwight Powell","C","DAL",73.0730071099686
"108",108,"Brandon Clarke","PF","MEM",73.0355945732665
